Energy,f’,f’’
1000,-3.254494,0.3261379
1100,-4.692934,3.768484
1200,-2.057173,4.821553
1300,0.1011794,4.270498
1400,-0.498055,2.903471
1500,-0.2279376,2.594301
1600,-4.9256131E-02,2.336071
1700,7.3511027E-02,2.117847
1800,0.1599808,1.93152
1900,0.2219102,1.770969
2000,0.2667551,1.631495
2100,0.299446,1.509443
2200,0.3498512,1.398191
2300,0.3673366,1.296237
2400,0.3788981,1.204823
2500,0.3859187,1.122542
2600,0.3894391,1.048214
2700,0.390251,0.9808466
2800,0.3889623,0.9195979
2900,0.3860432,0.8637497
3000,0.3818592,0.8126873
3100,0.3767442,0.7662982
3200,0.3709748,0.723709
3300,0.3647255,0.6845152
3400,0.358134,0.6483644
3500,0.3513094,0.6149495
3600,0.3443381,0.5840012
3700,0.3372887,0.5552825
3800,0.3302155,0.5285847
3900,0.3231612,0.5037228
4000,0.3161596,0.4805326
4100,0.3092371,0.458868
4200,0.302414,0.4385983
4300,0.295706,0.4196069
4400,0.2891249,0.4017889
4500,0.2826792,0.3850501
4600,0.2763746,0.3693055
4700,0.2687221,0.3545308
4800,0.2626968,0.3406475
4900,0.2568282,0.3275478
5000,0.2511154,0.3151739
5100,0.2455567,0.3034734
5200,0.2401501,0.2923983
5300,0.234893,0.281905
5400,0.2297825,0.2719536
5500,0.2248151,0.2625077
5600,0.2199875,0.2535337
5700,0.215296,0.2450007
5800,0.210737,0.2368806
5900,0.2063066,0.2291472
6000,0.2020011,0.2217766
6100,0.1978167,0.2147464
6200,0.1937497,0.2080363
6300,0.1897965,0.2016271
6400,0.1859533,0.1955013
6500,0.1822168,0.1896425
6600,0.1785834,0.1840355
6700,0.1750498,0.1786663
6800,0.1716126,0.1735216
6900,0.1682688,0.1685892
7000,0.1650152,0.1638577
7100,0.1618489,0.1593165
7200,0.158767,0.1549555
7300,0.1557666,0.1507654
7400,0.1528451,0.1467374
7500,0.15,0.1428635
7600,0.1472286,0.1391359
7700,0.1445285,0.1355474
7800,0.1418975,0.1320913
7900,0.1393333,0.1287611
8000,0.1368336,0.125551
8100,0.1343965,0.1224552
8200,0.1320199,0.1194685
8300,0.1297018,0.1165858
8400,0.1274404,0.1138025
8500,0.1252339,0.111114
8600,0.1230806,0.1085161
8700,0.1209788,0.106005
8800,0.1189268,0.1035767
8900,0.1169232,0.1012278
9000,0.1149706,9.8973595E-02
9100,0.113064,9.6791647E-02
9200,0.1112022,9.4678998E-02
9300,0.1093836,9.2632733E-02
9400,0.107607,9.0650156E-02
9500,0.1058711,8.8728637E-02
9600,0.1041746,8.6865753E-02
9700,0.1025164,8.5059166E-02
9800,0.1008953,8.3306625E-02
9900,9.9310294E-02,8.1606045E-02
10000,9.7760238E-02,7.9955384E-02
10100,9.6244141E-02,7.8352749E-02
10200,9.4761021E-02,7.6796323E-02
10300,9.3309909E-02,7.5284332E-02
10400,9.1889918E-02,7.3815152E-02
10500,9.0500124E-02,7.2387174E-02
10600,8.91397E-02,7.0998892E-02
10700,8.7807819E-02,6.9648884E-02
10800,8.6503677E-02,6.8335749E-02
10900,8.5226513E-02,6.7058191E-02
11000,8.3975568E-02,6.5814927E-02
11100,8.2750134E-02,6.4604774E-02
11200,8.1549533E-02,6.3426577E-02
11300,8.0373071E-02,6.2279224E-02
11400,7.9220116E-02,6.1161675E-02
11500,7.8090034E-02,6.0072903E-02
11600,7.6982215E-02,5.9011947E-02
11700,7.5896084E-02,5.7977889E-02
11800,7.4831061E-02,5.6969821E-02
11900,7.3786616E-02,5.5986907E-02
12000,7.2762199E-02,5.5028312E-02
12100,7.1757302E-02,5.4093257E-02
12200,7.0771433E-02,5.3180996E-02
12300,6.9804102E-02,5.2290786E-02
12400,6.8854861E-02,5.1421952E-02
12500,6.7923225E-02,5.05738E-02
12600,6.7008778E-02,4.9745701E-02
12700,6.6111095E-02,4.8937045E-02
12800,6.5229759E-02,4.8147216E-02
12900,6.4364381E-02,4.737566E-02
13000,6.3514553E-02,4.6621811E-02
13100,6.2679917E-02,4.5885146E-02
13200,6.1860107E-02,4.5165155E-02
13300,6.1054762E-02,4.446134E-02
13400,6.0263555E-02,4.3773238E-02
13500,5.9486132E-02,4.3100376E-02
13600,5.8722187E-02,4.2442318E-02
13700,5.7971403E-02,4.1798651E-02
13800,5.7233471E-02,4.1168947E-02
13900,5.6508102E-02,4.0552828E-02
14000,5.5794999E-02,3.9949894E-02
14100,5.5093899E-02,3.9359789E-02
14200,5.4398857E-02,3.8782176E-02
14300,5.3720966E-02,3.8216688E-02
14400,5.3054284E-02,3.7663002E-02
14500,5.2398551E-02,3.7120782E-02
14600,5.1753528E-02,3.6589723E-02
14700,5.1118996E-02,3.6069535E-02
14800,5.0494704E-02,3.5559915E-02
14900,4.9880445E-02,3.5060592E-02
15000,4.9275991E-02,3.4571286E-02
15100,4.868114E-02,3.4091741E-02
15200,4.8095684E-02,3.3621706E-02
15300,4.7519423E-02,3.3160925E-02
15400,4.6952166E-02,3.270917E-02
15500,4.6393719E-02,3.2266207E-02
15600,4.5843896E-02,3.1831808E-02
15700,4.5302529E-02,3.1405769E-02
15800,4.4769429E-02,3.0987868E-02
15900,4.4244438E-02,3.0577913E-02
16000,4.3727383E-02,3.0175697E-02
16100,4.3218102E-02,2.9781034E-02
16200,4.271644E-02,2.939374E-02
16300,4.2222254E-02,2.9013643E-02
16400,4.1735377E-02,2.8640553E-02
16500,4.1255668E-02,2.8274309E-02
16600,4.0782988E-02,2.7914749E-02
16700,4.03172E-02,2.7561713E-02
16800,3.9858174E-02,2.7215052E-02
16900,3.9405763E-02,2.6874607E-02
17000,3.8959842E-02,2.6540235E-02
17100,3.8520295E-02,2.6211796E-02
17200,3.8086992E-02,2.5889153E-02
17300,3.7659824E-02,2.5572181E-02
17400,3.7238657E-02,2.5260733E-02
17500,3.6823384E-02,2.4954695E-02
17600,3.6413901E-02,2.4653943E-02
17700,3.601009E-02,2.4358356E-02
17800,3.561186E-02,2.4067827E-02
17900,3.5219088E-02,2.3782231E-02
18000,3.483168E-02,2.3501463E-02
18100,3.4449544E-02,2.3225417E-02
18200,3.4072574E-02,2.2953993E-02
18300,3.370069E-02,2.2687091E-02
18400,3.3333782E-02,2.2424605E-02
18500,3.2971766E-02,2.2166444E-02
18600,3.2614559E-02,2.1912517E-02
18700,3.2262072E-02,2.1662731E-02
18800,3.1914227E-02,2.1417005E-02
18900,3.1570926E-02,2.1175243E-02
19000,3.1232102E-02,2.0937366E-02
19100,3.0897671E-02,2.0703293E-02
19200,3.0567558E-02,2.0472946E-02
19300,3.0241694E-02,2.0246249E-02
19400,2.9919993E-02,2.0023121E-02
19500,2.960239E-02,1.9803492E-02
19600,2.9288813E-02,1.9587291E-02
19700,2.8979193E-02,1.9374449E-02
19800,2.867347E-02,1.9164899E-02
19900,2.8371565E-02,1.8958572E-02
20000,2.8073419E-02,1.8755402E-02
20100,2.777897E-02,1.855533E-02
20200,2.7488153E-02,1.8358294E-02
20300,2.7200919E-02,1.8164236E-02
20400,2.6917191E-02,1.7973091E-02
20500,2.6636921E-02,1.7784806E-02
20600,2.6360048E-02,1.7599326E-02
20700,2.608652E-02,1.7416595E-02
20800,2.5816286E-02,1.7236564E-02
20900,2.554928E-02,1.7059175E-02
21000,2.5285458E-02,1.6884381E-02
21100,2.5024766E-02,1.6712131E-02
21200,2.4767155E-02,1.6542379E-02
21300,2.4512582E-02,1.637508E-02
21400,2.4260983E-02,1.6210182E-02
21500,2.4012322E-02,1.6047642E-02
21600,2.3766547E-02,1.5887417E-02
21700,2.3523618E-02,1.5729465E-02
21800,2.3283489E-02,1.5573746E-02
21900,2.304611E-02,1.5420213E-02
22000,2.2811441E-02,1.526883E-02
22100,2.2579439E-02,1.5119556E-02
22200,2.2350064E-02,1.4972355E-02
22300,2.2123275E-02,1.4827192E-02
22400,2.1899026E-02,1.4684023E-02
22500,2.1677276E-02,1.4542817E-02
22600,2.1457976E-02,1.4403539E-02
22700,2.1241058E-02,1.4266153E-02
22800,2.1026205E-02,1.413063E-02
22900,2.0612959E-02,1.3997434E-02
23000,2.0403413E-02,1.3866619E-02
23100,2.0196585E-02,1.3737554E-02
23200,1.9992068E-02,1.3610206E-02
23300,1.9789791E-02,1.3484549E-02
23400,1.9589705E-02,1.3360548E-02
23500,1.9391775E-02,1.3238178E-02
23600,1.9195968E-02,1.3117409E-02
23700,1.9002249E-02,1.2998217E-02
23800,1.8810591E-02,1.2880575E-02
23900,1.8620953E-02,1.2764452E-02
24000,1.843331E-02,1.2649827E-02
24100,1.824763E-02,1.2536672E-02
24200,1.8063882E-02,1.2424964E-02
24300,1.7882042E-02,1.231468E-02
24400,1.7702071E-02,1.2205794E-02
24500,1.7523946E-02,1.2098284E-02
24600,1.7347638E-02,1.1992126E-02
24700,1.7173115E-02,1.1887299E-02
24800,1.7000355E-02,1.1783784E-02
24900,1.6829323E-02,1.1681555E-02