AtomicNumber,Symbol,ElementName,AtomicWeight,Ka1,Ka2,Kb1,Kb2,Kb3,La1,La2,Lb1,Lb2,Lb3,Lb4,Lg1,Lg2,Lg3,Ll,Ma1,Ma2,Mb,Mg
1.00,H,Hydrogen,1.00,0.01,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
2.00,He,Helium,4.00,0.02,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
3.00,Li,Lithium,6.94,0.05,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
4.00,Be,Beryllium,9.01,0.11,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
5.00,B,Boron,10.81,0.18,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
6.00,C,Carbon,12.01,0.28,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
7.00,N,Nitrogen,14.00,0.39,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
8.00,O,Oxygen,15.99,0.52,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
9.00,F,Fluorine,18.99,0.68,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
10.00,Ne,Neon,20.18,0.85,0.85,0.86,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
11.00,Na,Sodium,22.99,1.04,1.04,1.07,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
12.00,Mg,Magnesium,24.30,1.25,1.25,1.30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
13.00,Al,Aluminum,36.98,1.49,1.49,1.56,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
14.00,Si,Silicon,28.08,1.74,1.74,1.84,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.06,,,,
15.00,P,Phosphorus,30.97,2.01,2.01,2.14,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.10,,,,
16.00,S,Sulfur,32.06,2.31,2.31,2.46,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,,,,
17.00,Cl,Chlorine,35.45,2.62,2.62,2.82,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,,,,
18.00,Ar,Argon,39.94,2.96,2.96,3.19,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,,,,
19.00,K,Potassium,39.09,3.31,3.31,3.59,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,,,,
20.00,Ca,Calcium,40.08,3.69,3.69,4.01,0.00,0.00,0.34,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.31,0.30,,,,
21.00,Sc,Scandium,44.95,4.09,4.09,4.46,0.00,0.00,0.40,0.40,0.40,0.00,0.46,0.46,0.00,0.00,0.35,0.35,,,,
22.00,Ti,Titanium,47.88,4.51,4.50,4.93,0.00,0.00,0.45,0.45,0.46,0.00,0.52,0.52,0.00,0.00,0.40,0.40,,,,
23.00,V,Vanadium,50.94,4.95,4.94,5.43,0.00,0.00,0.51,0.51,0.52,0.00,0.59,0.59,0.00,0.00,0.45,0.45,,,,
24.00,Cr,Chromium,51.99,5.41,5.41,5.95,0.00,0.00,0.57,0.57,0.58,0.00,0.65,0.65,0.00,0.00,0.51,0.50,,,,
25.00,Mn,Manganese,54.93,5.90,5.89,6.49,0.00,0.00,0.64,0.64,0.65,0.00,0.72,0.72,0.00,0.00,0.57,0.55,,,,
26.00,Fe,Iron,55.84,6.40,6.39,7.06,0.00,0.00,0.71,0.71,0.72,0.00,0.79,0.79,0.00,0.00,0.63,0.61,,,,
27.00,Co,Cobalt,58.93,6.93,6.92,7.65,0.00,0.00,0.78,0.78,0.79,0.00,0.87,0.87,0.00,0.00,0.69,0.68,,,,
28.00,Ni,Nickel,58.70,7.48,7.46,8.26,0.00,0.00,0.85,0.85,0.87,0.00,0.94,0.94,0.00,0.00,0.76,0.74,,,,
29.00,Cu,Copper,63.54,8.05,8.03,8.91,0.00,0.00,0.93,0.93,0.95,0.00,1.02,1.02,0.00,0.00,0.83,0.81,,,,
30.00,Zn,Zinc,65.39,8.64,8.62,9.57,0.00,0.00,1.01,1.01,1.03,0.00,1.11,1.11,0.00,0.00,0.91,0.88,,,,
31.00,Ga,Gallium,69.72,9.25,9.22,10.26,0.00,10.26,1.10,1.10,1.12,0.00,1.20,1.20,0.00,0.00,0.98,0.96,,,,
32.00,Ge,Germanium,72.61,9.89,9.86,10.98,0.00,10.98,1.19,1.19,1.22,0.00,1.29,1.29,0.00,0.00,1.07,1.04,,,,
33.00,As,Arsenic,74.92,10.54,10.51,11.73,0.00,11.72,1.28,1.28,1.32,0.00,1.38,1.39,0.00,0.00,1.16,1.12,,,,
34.00,Se,Selenium,78.96,11.22,11.18,12.50,12.65,12.49,1.38,1.38,1.42,0.00,1.49,1.49,0.00,0.00,1.24,1.21,,,,
35.00,Br,Bromine,79.90,11.92,11.88,13.29,13.47,13.28,1.48,1.48,1.53,0.00,1.60,1.60,0.00,0.00,1.34,1.30,,,,
36.00,Kr,Krypton,83.80,12.65,12.60,14.11,14.31,14.10,1.59,1.59,1.64,0.00,1.71,1.70,0.00,0.00,1.44,1.39,,,,
37.00,Rb,Rubidium,85.46,13.40,13.34,14.96,15.18,14.95,1.69,1.69,1.75,0.00,1.83,1.82,0.00,0.00,1.54,1.48,,,,
38.00,Sr,Strontium,87.62,14.17,14.10,15.84,16.08,15.82,1.81,1.80,1.87,0.00,1.95,1.94,0.00,0.00,1.65,1.58,,,,
39.00,Y,Yttrium,88.90,14.96,14.88,16.74,17.01,16.72,1.92,1.92,2.00,2.08,2.07,2.06,2.14,0.00,1.76,1.68,,,,
40.00,Zr,Zirconium,91.22,15.78,15.69,17.67,17.97,17.65,2.04,2.04,2.12,2.22,2.20,2.19,2.30,0.00,1.88,1.79,,,,0.323
41.00,Nb,Niobium,92.90,16.62,16.52,18.62,18.95,18.60,2.17,2.16,2.26,2.37,2.33,2.32,2.46,0.00,2.00,1.90,,,,0.349
42.00,Mo,Molybdenum,95.94,17.48,17.37,19.61,19.96,19.59,2.29,2.29,2.39,2.52,2.47,2.46,2.62,0.00,2.12,2.01,,,,0.379
43.00,Tc,Technetium,98.00,18.37,18.25,20.62,21.00,20.59,2.42,0.00,2.54,0.00,2.61,2.60,0.00,0.00,2.25,2.13,,,,0.412
44.00,Ru,Ruthenium,101.07,19.28,19.15,21.66,22.07,21.63,2.56,2.55,2.68,2.84,2.76,2.74,2.96,0.00,2.38,2.25,,,,0.448
45.00,Rh,Rhodium,102.90,20.22,20.07,22.72,23.17,22.70,2.70,2.69,2.83,3.00,2.91,2.89,3.14,3.36,2.52,2.37,,,,0.485
46.00,Pd,Palladium,106.42,21.18,21.02,23.82,24.30,23.79,2.84,2.83,2.99,3.17,3.07,3.04,3.33,3.55,2.66,2.50,,,,0.522
47.00,Ag,Silver,107.86,22.16,21.99,24.94,25.45,24.91,2.98,2.98,3.15,3.35,3.23,3.20,3.52,3.75,2.81,2.63,,,,0.562
48.00,Cd,Cadmium,112.41,23.17,22.98,26.10,26.64,26.06,3.13,3.13,3.32,3.53,3.40,3.37,3.72,3.95,2.96,2.76,,,,0.603
49.00,In,Indium,114.82,24.21,24.00,27.28,27.86,27.23,3.29,3.28,3.49,3.71,3.57,3.53,3.92,4.16,3.11,2.90,,,,0.646
50.00,Sn,Tin,118.71,25.27,25.04,28.49,29.11,28.44,3.44,3.44,3.66,3.90,3.75,3.71,4.13,4.38,3.27,3.04,,,,0.684
51.00,Sb,Antimony,121.76,26.36,26.11,29.73,30.38,29.67,3.60,3.60,3.84,4.10,3.93,3.89,4.35,4.60,3.44,3.19,,,,0.735
52.00,Te,Tellurium,127.60,27.47,27.20,31.00,31.69,30.94,3.77,3.76,4.03,4.30,4.12,4.07,4.57,4.83,3.60,3.33,,,,0.779
53.00,I,Iodine,126.90,28.61,28.32,32.29,33.04,32.23,3.94,3.93,4.22,4.51,4.31,4.26,4.80,5.06,3.78,3.49,,,,0.826
54.00,Xe,Xenon,131.29,29.78,29.46,33.62,34.41,33.56,4.11,0.00,0.00,0.00,4.51,4.45,0.00,5.30,3.96,3.64,,,,0.874
55.00,Cs,Cesium,132.90,30.97,30.63,34.99,35.82,34.91,4.29,4.27,4.62,4.94,4.72,4.65,5.28,5.55,4.14,3.80,,,,0.924
56.00,Ba,Barium,137.33,32.19,31.82,36.38,37.25,36.30,4.47,4.45,4.83,5.16,4.93,4.85,5.53,5.80,4.33,3.96,,,,0.974
57.00,La,Lanthanum,139.90,33.44,33.03,37.80,38.72,37.71,4.65,4.63,5.04,5.38,5.14,5.06,5.79,6.06,4.52,4.12,0.833,,0.854,1.025
58.00,Ce,Cerium,140.12,34.72,34.28,39.26,40.22,39.16,4.84,4.82,5.26,5.61,5.37,5.28,6.05,6.33,4.73,4.29,0.883,,0.902,1.079
59.00,Pr,Praseodymium,140.90,36.03,35.55,40.75,41.76,40.64,5.03,5.01,5.49,5.85,5.59,5.50,6.32,6.60,4.93,4.46,0.929,,0.950,1.131
60.00,Nd,Neodymium,144.24,37.36,36.85,42.27,43.32,42.16,5.23,5.21,5.72,6.09,5.83,5.72,6.60,6.88,5.14,4.64,0.978,,0.997,1.180
61.00,Pm,Promethium,145.00,38.72,38.17,43.83,44.92,43.70,5.43,5.41,5.96,6.34,6.07,5.96,6.89,7.17,5.36,4.81,,,,1.234
62.00,Sm,Samarium,150.36,40.12,39.52,45.41,46.54,45.28,5.64,5.61,6.21,6.59,6.32,6.19,7.18,7.46,5.59,4.99,1.081,,1.100,1.287
63.00,Eu,Europium,151.97,41.54,40.90,47.04,48.20,46.90,5.85,5.82,6.46,6.84,6.57,6.44,7.48,7.76,5.82,5.18,1.131,,1.153,1.341
64.00,Gd,Gadolinium,157.25,43.00,42.31,48.70,49.89,48.55,6.06,6.03,6.71,7.10,6.83,6.69,7.79,8.07,6.05,5.36,1.185,,1.209,1.334
65.00,Tb,Terbium,158.92,44.48,43.74,50.38,51.61,50.23,6.27,6.24,6.98,7.37,7.10,6.94,8.10,8.39,6.28,5.55,1.240,,1.266,1.457
66.00,Dy,Dysprosium,162.50,46.00,45.21,52.12,53.35,51.96,6.50,6.46,7.25,7.64,7.37,7.20,8.42,8.72,6.53,5.74,1.293,,1.325,1.507
67.00,Ho,Holmium,164.93,47.55,46.70,53.88,55.13,53.72,6.72,6.68,7.53,7.91,7.65,7.47,8.75,9.05,6.79,5.94,1.348,,1.383,1.570
68.00,Er,Erbium,167.26,49.13,48.22,55.68,56.93,55.51,6.95,6.91,7.81,8.19,7.94,7.74,9.09,9.39,7.06,6.14,1.406,,1.443,1.627
69.00,Tm,Thulium,168.93,50.74,49.77,57.52,58.76,57.35,7.18,7.13,8.10,8.47,8.23,8.02,9.43,9.74,7.31,6.34,1.462,,1.503,1.694
70.00,Yb,Ytterbium,173.04,52.39,51.35,59.37,60.61,59.23,7.42,7.37,8.40,8.76,8.53,8.31,9.78,10.09,7.58,6.54,1.521,,1.568,1.770
71.00,Lu,Lutetium,174.96,54.07,52.97,61.28,62.48,61.15,7.66,7.60,8.71,9.05,8.84,8.60,10.14,10.46,7.86,6.75,1.572,,1.623,1.833
72.00,Hf,Hafnium,178.49,55.79,54.61,63.23,64.37,63.11,7.90,7.84,9.02,9.35,9.16,8.90,10.52,10.83,8.14,6.96,1.646,,1.700,1.902
73.00,Ta,Tantalum,180.94,57.53,56.28,65.22,66.29,65.11,8.15,8.09,9.34,9.65,9.48,9.21,10.90,11.22,8.43,7.17,1.702,,1.760,1.961
74.00,W,Tungsten,183.85,59.32,57.98,67.24,68.22,67.16,8.40,8.34,9.67,9.96,9.82,9.52,11.29,11.61,8.72,7.38,1.776,1.774,1.835,2.033
75.00,Re,Rhenium,186.20,61.14,59.72,69.31,70.17,69.26,8.65,8.59,10.01,10.28,10.16,9.85,11.69,12.01,9.02,7.60,1.845,1.843,1.910,2.104
76.00,Os,Osmium,190.20,63.00,61.49,71.41,72.13,71.40,8.91,8.84,10.36,10.60,10.51,10.17,12.10,12.42,9.33,7.82,1.921,1.918,1.988,2.177
77.00,Ir,Iridium,192.22,64.90,63.29,73.56,74.10,73.59,9.18,9.10,10.71,10.92,10.87,10.51,12.51,12.84,9.65,8.04,1.988,1.983,2.062,2.255
78.00,Pt,Platinium,195.08,66.83,65.11,75.75,76.08,75.83,9.44,9.36,11.07,11.25,11.23,10.85,12.94,13.27,9.97,8.27,2.065,2.059,2.134,2.332
79.00,Au,Gold,196.96,68.80,66.99,77.98,78.06,78.12,9.71,9.63,11.44,11.58,11.61,11.20,13.38,13.71,10.31,8.49,2.142,2.133,2.220,2.404
80.00,Hg,Mercury,200.59,70.82,68.90,80.25,0.00,0.00,9.99,9.90,11.82,11.92,11.99,11.56,13.83,14.16,10.65,8.72,2.195,2.184,2.285,2.485
81.00,Tl,Thallium,204.38,72.87,70.83,82.58,0.00,0.00,10.27,10.17,12.21,12.27,12.39,11.93,14.29,14.62,10.99,8.95,2.270,2.266,2.360,2.569
82.00,Pb,Lead,207.20,74.97,72.80,84.94,0.00,0.00,10.55,10.45,12.61,12.62,12.79,12.31,14.76,15.09,11.35,9.19,2.345,2.340,2.442,2.658
83.00,Bi,Bismuth,208.98,77.11,74.81,87.34,0.00,0.00,10.84,10.73,13.02,12.98,13.21,12.69,15.25,15.58,11.71,9.42,2.422,2.426,2.534,2.745
84.00,Po,Polonium,209.00,79.29,76.86,89.80,0.00,0.00,11.13,11.02,13.45,13.34,13.63,13.08,15.74,16.07,12.09,9.66,2.501,2.503,2.620,2.842
85.00,At,Astatine,210.00,81.52,78.95,92.30,0.00,0.00,11.43,11.30,13.88,0.00,14.07,13.48,16.25,16.58,12.47,9.90,2.581,2.582,2.707,2.929
86.00,Rn,Radon,222.00,83.78,81.07,94.87,0.00,0.00,11.73,11.60,14.32,0.00,14.51,13.90,16.77,17.10,12.86,10.14,2.663,2.662,2.794,3.006
87.00,Fr,Francium,223.00,86.10,83.23,97.47,0.00,0.00,12.03,11.90,14.77,14.45,14.97,14.32,17.30,17.63,13.26,10.38,2.746,2.742,2.881,3.093
88.00,Ra,Radium,226.02,88.47,85.43,100.13,0.00,0.00,12.34,12.20,15.24,14.84,15.44,14.75,17.85,18.17,13.66,10.62,2.829,2.823,2.967,3.185
89.00,Ac,Actinium,227.02,90.88,87.67,102.85,0.00,0.00,12.65,12.50,15.71,0.00,15.93,15.19,18.41,18.73,14.08,10.87,2.913,2.904,3.054,3.265
90.00,Th,Thorium,232.03,93.35,89.95,105.61,0.00,0.00,12.97,12.81,16.20,15.62,16.42,15.64,18.98,19.30,14.51,11.12,2.996,2.984,3.145,3.369
91.00,Pa,Protoactinium,231.04,95.87,92.29,108.43,0.00,0.00,13.29,13.12,16.70,16.02,16.93,16.10,19.57,19.88,14.94,11.37,3.083,3.070,3.251,3.470
92.00,U,Uranium,0.00,98.44,94.67,111.30,0.00,0.00,13.61,13.44,17.22,16.43,17.45,16.57,20.17,20.48,15.39,11.62,3.171,3.161,3.337,3.566